0,2021-08-26,313,
1,2020-07-24,74,11
2,2021-03-02,412,6
3,2020-12-25,460,
4,2021-05-09,238,6
5,2019-03-18,148,23
6,2022-02-12,438,
7,2019-11-09,80,18
8,2021-09-30,194,11
9,2020-05-29,41,
10,2021-02-14,489,31
11,2022-02-03,128,
12,2019-06-14,249,
13,2019-04-23,362,13
14,2021-05-08,1,36
15,2020-12-16,345,
16,2019-01-30,197,36
17,2021-10-04,253,12
18,2021-02-28,322,
19,2021-11-11,252,12
20,2021-03-12,98,15
21,2019-04-26,465,
22,2020-10-07,364,
23,2020-06-02,291,28
24,2020-04-15,329,
25,2019-11-04,373,34
26,2022-01-24,357,34
27,2020-03-20,197,
28,2020-07-17,273,7
29,2019-01-29,13,5
30,2021-09-20,2,
31,2021-01-19,350,26
32,2019-12-19,257,31
33,2019-02-12,377,
34,2019-12-30,164,35
35,2021-05-06,336,14
36,2021-08-06,264,
37,2018-12-04,438,24
38,2020-02-22,389,18
39,2020-08-24,428,
40,2019-03-14,400,21
41,2021-04-24,114,10
42,2019-10-21,444,
43,2019-05-09,57,26
44,2020-11-05,310,
45,2019-10-05,349,
46,2019-06-11,486,9
47,2019-12-13,13,27
48,2019-09-24,308,
49,2018-12-06,55,9
50,2021-06-03,23,6
51,2018-11-21,483,
52,2020-04-20,91,33
53,2020-11-10,388,3
54,2021-09-25,383,
55,2020-06-05,286,
56,2021-07-10,99,43
57,2020-12-30,262,
58,2018-11-23,11,0
59,2020-05-24,267,0
60,2020-06-16,218,
61,2019-07-28,71,19
62,2019-07-14,370,48
63,2020-06-25,319,
64,2019-04-23,345,20
65,2021-08-08,113,25
66,2020-05-01,228,
67,2019-10-10,480,12
68,2020-06-03,305,45
69,2021-04-10,375,
70,2021-04-18,139,42
71,2018-11-28,475,29
72,2019-05-28,475,
73,2020-05-01,372,47
74,2020-11-01,289,48
75,2020-10-30,383,
76,2020-12-31,318,10
77,2021-01-17,457,
78,2019-05-11,359,
79,2020-06-02,414,47
80,2021-06-26,160,31
81,2021-04-15,189,
82,2020-05-10,495,25
83,2020-04-22,184,2
84,2021-01-08,357,
85,2021-01-05,255,42
86,2020-05-30,104,34
87,2020-08-04,73,
88,2019-11-03,438,
89,2020-11-17,399,2
90,2019-12-05,395,
91,2019-09-02,431,16
92,2021-10-27,251,1
93,2019-11-25,171,
94,2020-10-04,196,37
95,2020-06-02,110,39
96,2021-11-27,388,
97,2021-10-25,324,38
98,2018-11-20,13,47
99,2020-03-14,266,
100,2021-06-28,310,7
101,2020-12-08,15,23
102,2021-12-04,72,
103,2022-02-17,204,30
104,2019-12-08,370,36
105,2020-04-07,135,
106,2019-07-01,285,14
107,2020-07-20,461,49
108,2019-02-24,3,
109,2021-12-24,115,15
110,2019-11-18,157,
111,2021-08-12,18,
112,2019-11-23,484,3
113,2018-11-20,384,25
114,2020-10-29,162,
115,2019-02-20,438,33
116,2021-09-18,202,49
117,2020-04-22,273,
118,2020-03-02,146,22
119,2019-02-10,85,41
120,2020-06-11,121,
121,2021-06-10,313,
122,2020-05-20,443,1
123,2021-05-03,125,
124,2021-05-15,381,6
125,2020-06-05,239,28
126,2020-08-07,295,
127,2020-09-22,84,48
128,2020-02-18,331,35
129,2020-01-27,227,
130,2020-08-18,403,1
131,2021-10-06,209,40
132,2020-05-24,355,
133,2020-04-17,225,19
134,2020-01-06,229,11
135,2021-09-25,271,
136,2021-02-20,298,22
137,2019-02-11,339,8
138,2021-04-16,272,
139,2018-12-20,306,34
140,2021-01-25,395,13
141,2020-05-26,210,
142,2021-09-14,130,37
143,2019-06-11,12,
144,2019-02-17,251,
145,2020-03-15,188,44
146,2019-01-17,395,41
147,2019-11-28,393,
148,2020-06-27,3,13
149,2019-11-02,120,22
150,2019-03-14,340,
151,2020-06-12,291,33
152,2019-01-13,469,32
153,2020-05-10,497,
154,2020-07-17,357,
155,2019-01-09,309,10
156,2020-08-08,273,
157,2022-02-12,100,44
158,2019-06-03,17,28
159,2019-06-20,293,
160,2018-10-11,172,18
161,2020-02-02,396,32
162,2019-11-06,322,
163,2021-06-18,59,40
164,2021-02-27,179,26
165,2020-04-25,378,
166,2019-06-10,100,0
167,2020-08-26,48,3
168,2021-12-16,39,
169,2021-03-19,58,44
170,2021-04-07,436,31
171,2019-01-07,285,
172,2021-03-30,350,34
173,2021-11-08,304,28
174,2021-08-07,329,
175,2019-12-10,207,37
176,2019-03-09,60,
177,2019-03-23,298,
178,2021-11-28,146,4
179,2020-07-17,400,16
180,2018-12-01,179,
181,2021-12-13,61,11
182,2020-12-22,121,21
183,2020-08-10,467,
184,2019-12-05,247,18
185,2020-02-19,350,35
186,2020-02-24,310,
187,2019-05-22,109,
188,2019-06-17,478,27
189,2018-10-12,114,
190,2019-10-28,436,3
191,2019-12-14,370,32
192,2018-10-27,348,
193,2020-09-01,8,43
194,2018-11-06,13,1
195,2020-04-10,80,
196,2018-10-07,53,16
197,2019-07-15,403,22
198,2022-01-22,430,
199,2019-07-28,51,14
200,2021-02-24,393,32
201,2020-12-02,383,
202,2020-02-17,468,48
203,2019-08-29,431,31
204,2018-11-29,204,
205,2019-01-02,394,21
206,2020-03-18,385,18
207,2021-01-27,437,
208,2018-10-24,320,43
209,2020-07-23,200,
210,2021-04-23,321,
211,2021-02-10,224,5
212,2020-07-17,34,13
213,2021-01-29,26,
214,2020-04-09,415,12
215,2019-08-09,429,18
216,2019-01-05,246,
217,2019-02-08,141,26
218,2020-03-11,205,16
219,2019-12-28,11,
220,2021-05-21,85,
221,2021-10-07,269,47
222,2019-10-15,392,
223,2019-01-20,441,24
224,2019-06-21,459,12
225,2021-11-15,18,
226,2022-01-27,253,41
227,2021-11-19,74,13
228,2019-03-01,194,
229,2020-02-23,318,1
230,2021-06-06,85,2
231,2020-08-16,297,
232,2019-04-26,260,28
233,2019-05-26,13,39
234,2020-06-27,28,
235,2020-03-31,387,39
236,2020-07-07,199,33
237,2020-12-29,239,
238,2021-04-09,373,14
239,2020-07-07,298,41
240,2020-06-21,287,
241,2019-10-03,449,39
242,2021-07-10,114,
243,2020-11-23,52,
244,2019-10-22,258,36
245,2020-03-24,73,14
246,2019-05-29,43,
247,2021-12-17,436,15
248,2018-12-17,282,17
249,2019-12-03,194,
250,2020-12-06,22,4
251,2019-09-18,487,20
252,2021-10-01,113,
253,2020-03-26,237,
254,2018-10-03,233,1
255,2019-01-23,226,
256,2021-01-08,457,32
257,2021-06-18,363,10
258,2019-07-12,53,
259,2021-05-31,55,40
260,2018-12-29,416,46
261,2019-02-19,463,
262,2021-05-19,318,0
263,2019-08-03,409,11
264,2021-04-21,16,
265,2019-01-15,129,34
266,2021-08-30,26,38
267,2021-04-07,147,
268,2018-12-26,86,23
269,2019-03-15,118,15
270,2021-02-16,243,
271,2018-12-28,289,3
272,2020-11-10,203,33
273,2020-10-22,125,
274,2020-07-16,49,15
275,2020-07-01,450,
276,2019-01-11,256,
277,2019-05-25,299,34
278,2019-08-12,100,37
279,2019-06-04,409,
280,2019-12-11,287,7
281,2021-04-24,400,23
282,2020-11-17,452,
283,2022-02-15,162,2
284,2019-10-26,97,30
285,2021-04-13,103,
286,2020-07-07,487,
287,2019-12-31,195,41
288,2020-07-28,302,
289,2020-10-31,116,18
290,2020-12-15,288,33
291,2022-02-17,405,
